TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
GSHP3;42,30;;-0,17;-0,17;0,05;66,49;17,69;-515,29;5,03;104,53;99,50;;0,89;-3,07;-0,06;0,90;-100,93;-27,93;-3,43;-0,28;1,28;0,05;-18,98;;92.665,09;-242,94;-245,20;0,00;81.586.928,70
GUAR3;19,65;2,07;-361,25;1,95;0,71;50,61;-0,50;-0,43;-312,23;-334,73;-22,50;0,14;1,57;2,71;-1,91;1,71;-0,54;-0,20;-2,25;0,36;0,64;0,45;2,55;;18.020.720,17;10,07;-0,05;3,45;9.809.280.000,00
HAGA3;3,60;;5,05;-0,61;0,72;31,08;27,46;22,50;4,14;3,37;-0,07;;1,14;2,02;-4,06;1,76;-12,13;14,21;-25,02;-1,17;2,17;0,63;0,12;12,13;69.293,13;-5,88;0,71;0,02;35.620.666,97
HAGA4;2,69;;3,77;-0,46;0,54;31,08;27,46;22,50;3,09;3,37;-0,07;;0,85;1,51;-3,04;1,76;-12,13;14,21;-25,02;-1,17;2,17;0,63;0,12;12,13;652.316,70;-5,88;0,71;0,02;35.620.666,97
HAPV3;14,80;0,39;72,73;7,28;4,21;39,11;14,81;9,16;44,97;44,65;-0,32;-0,05;6,66;41,24;-5,69;1,65;10,00;5,79;9,28;0,58;0,42;0,63;28,32;20,33;163.972.121,20;2,03;0,20;-9,31;56.747.961.272,20
HBOR3;8,82;0,54;44,52;0,70;0,27;19,73;5,46;2,72;22,22;40,65;18,44;0,58;1,21;0,55;-1,00;3,12;1,58;0,61;0,98;0,38;0,62;0,22;-5,72;-2,10;18.767.921,30;12,51;0,20;-0,35;1.180.566.455,04
HBRE3;16,00;;-79,39;1,21;0,63;84,53;113,07;-26,89;18,88;27,68;8,80;0,56;21,35;-16,61;-0,67;0,61;-1,53;-0,80;1,91;0,52;0,48;0,03;;;2.643.700,90;13,21;-0,20;0,72;1.651.023.696,00
HBSA3;6,76;;-48,70;3,37;0,90;25,48;13,86;-7,22;25,36;39,82;14,46;1,92;3,52;5,24;-1,20;3,20;-6,92;-1,85;2,65;0,27;0,73;0,26;49,43;;19.058.059,03;2,01;-0,14;0,17;5.140.186.666,68
HBTS5;35,50;;221,48;1,10;0,24;68,77;46,38;1,45;6,93;9,55;2,63;0,42;3,21;-1,91;-0,29;0,54;0,50;0,11;7,80;0,22;0,78;0,08;7,42;-25,49;67.943,63;32,20;0,16;-2,18;324.245.888,50
HETA3;4,01;;-0,01;0,00;0,17;100,00;-10.956,88;-10.958,54;-0,01;-1,91;-1,89;;1,30;-0,04;-0,20;0,02;-31,00;-1.459,90;74,65;-47,10;48,10;0,13;-2,24;;;-1.088,28;-337,35;0,00;4.118.558,11
HETA4;10,13;;-0,03;-0,01;0,44;100,00;-10.956,88;-10.958,54;-0,03;-1,91;-1,89;;3,29;-0,09;-0,49;0,02;-31,00;-1.459,90;74,65;-47,10;48,10;0,13;-2,24;;93.810,70;-1.088,28;-337,35;0,00;4.118.558,11
HGTX3;29,49;1,85;13,98;2,95;2,05;39,09;7,56;31,95;59,05;56,87;-2,17;-0,11;4,47;6,03;-5,26;2,25;21,14;14,65;0,15;0,69;0,31;0,46;-7,54;4,05;151.316.873,47;9,98;2,11;0,23;4.778.497.747,80
HOOT3;0,00;;0,00;0,00;0,00;48,06;-190,02;-251,06;0,00;-0,32;0,01;;0,00;0,00;0,00;0,03;-19,11;-19,65;14,89;-1,03;2,03;0,08;-24,22;;;-25,85;-4,94;0,00;22.183.528,14
HOOT4;2,81;;-0,57;-0,11;0,11;48,06;-190,02;-251,06;-0,75;-0,32;0,01;;1,43;-0,09;-0,12;0,03;-19,11;-19,65;14,89;-1,03;2,03;0,08;-24,22;;53.204,30;-25,85;-4,94;0,02;22.183.528,14
HYPE3;33,75;3,52;15,69;2,29;1,19;63,87;32,20;30,65;14,94;18,39;3,46;0,53;4,81;7,43;-1,67;2,26;14,57;7,58;8,45;0,52;0,48;0,25;6,70;18,26;102.899.790,10;14,76;2,15;0,60;21.365.284.359,79
IDVL3;2,16;;-0,99;0,93;0,06;-18,91;-40,19;-154,60;-3,81;-3,84;;;1,53;0,48;-0,13;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;289.164,47;2,31;-2,18;0,00;224.007.574,38
IDVL4;2,67;;-1,22;1,16;0,07;-18,91;-40,19;-154,60;-4,71;-3,84;;;1,89;0,59;-0,16;1,26;-94,38;-5,67;;0,06;0,94;0,04;-32,17;;89.696,16;2,31;-2,18;0,00;224.007.574,38
IFCM3;14,80;;;;;;;;;;;;;;;;;;;;;;;;11.089.152,44;;0,00;;3.517.378.744,80
IGBR3;12,75;;-1,75;-0,17;0,83;80,85;-655,78;-1.542,07;-4,11;-27,43;-23,32;;26,97;-2,13;-0,90;0,15;-9,87;-47,71;198,41;-4,83;5,83;0,03;-8,75;;890.753,70;-73,87;-7,29;-0,07;159.438.316,50
IGSN3;0,00;;0,00;0,00;0,00;44,34;22,03;-0,81;0,00;7,29;7,29;1,50;0,00;0,00;0,00;2,39;-0,76;-0,21;5,64;0,28;0,72;0,26;10,03;;;3,01;-0,02;0,00;0,00
IGTA3;41,73;1,17;31,94;2,32;1,08;58,07;52,11;33,57;20,58;25,77;5,19;0,58;10,72;7,19;-1,46;2,39;7,25;3,38;4,58;0,47;0,53;0,10;1,21;0,88;100.440.408,53;18,01;1,31;-2,32;7.417.686.276,00
INEP3;53,00;;-1,03;-0,20;0,32;19,54;-4.232,60;-5.843,94;-1,42;-3,79;-2,38;;60,08;-0,21;-0,38;0,10;-19,63;-30,72;21,52;-1,57;2,57;0,01;-53,72;;1.503.305,47;-262,67;-51,55;1,50;434.543.805,12
INEP4;51,89;;-1,01;-0,20;0,31;19,54;-4.232,60;-5.843,94;-1,39;-3,79;-2,38;;58,82;-0,21;-0,37;0,10;-19,63;-30,72;21,52;-1,57;2,57;0,01;-53,72;;1.999.353,37;-262,67;-51,55;1,47;434.543.805,12
INNT3;0,00;;0,00;0,00;0,00;14,02;-11,37;-17,88;0,00;-5,51;-5,51;2,93;0,00;0,00;0,00;1,25;-83,52;-4,88;-9,96;0,06;0,94;0,27;37,50;;;0,55;-0,46;0,00;0,00
INTB3;25,40;;18,83;8,52;3,41;31,57;17,62;18,53;19,80;19,20;-0,60;-0,26;3,49;8,65;-20,86;1,89;45,28;18,10;27,38;0,40;0,60;0,98;;;29.751.946,77;2,98;1,35;0,07;8.321.322.194,00
IRBR3;6,18;2,14;-5,15;1,84;0,34;-18,47;-21,42;-17,94;-4,31;-4,31;;;0,92;-5,58;-1,07;0,92;-35,74;-6,70;;0,19;0,81;0,37;17,75;;162.304.674,67;3,36;-1,20;0,02;7.822.883.348,44
ITEC3;40,10;;-35,12;22,04;9,22;-121,18;-18.852,94;-7.435,88;-13,85;-13,21;0,64;-1,02;2.611,73;25,42;-16,70;5,23;-62,76;-26,24;-174,07;0,42;0,58;0,00;-75,29;;;1,82;-1,14;1,36;443.994.658,60
ITSA3;11,26;2,47;13,42;1,61;1,29;31,50;131,36;120,00;12,26;12,00;0,21;0,03;16,11;23,07;-1,44;2,28;12,02;9,63;11,16;0,80;0,16;0,08;3,78;-3,97;2.299.474,40;6,98;0,84;-0,43;91.172.350.729,40
ITSA4;10,60;2,63;12,64;1,52;1,22;31,50;131,36;120,00;11,54;12,00;0,21;0,03;15,16;21,71;-1,35;2,28;12,02;9,63;11,16;0,80;0,16;0,08;3,78;-3,97;292.859.624,50;6,98;0,84;-0,40;91.172.350.729,40
ITUB3;25,57;2,35;11,87;1,70;0,12;65,94;13,28;12,16;10,87;11,56;;;1,44;;-0,13;;14,34;1,04;;0,07;0,92;0,09;6,04;-10,45;13.951.226,93;15,02;2,15;-1,05;266.683.029.312,06
ITUB4;28,85;2,08;13,39;1,92;0,14;65,94;13,28;12,16;12,27;11,56;;;1,63;;-0,14;;14,34;1,04;;0,07;0,92;0,09;6,04;-10,45;857.325.026,10;15,02;2,15;-1,18;266.683.029.312,06
JALL3;8,78;;25,75;4,66;0,92;50,14;40,67;10,39;6,58;9,83;3,25;2,30;2,68;4,19;-1,73;1,88;18,08;3,57;14,56;0,20;0,80;0,34;;;6.410.619,80;1,89;0,34;;2.587.440.458,98
JBDU3;3,54;;-2,74;0,29;0,09;;;;-2,81;-3,63;-0,93;0,10;;-0,53;-0,09;0,00;-10,59;-3,40;-9,42;0,32;0,68;0,00;;;436.287,00;12,19;-1,29;-0,06;17.031.689,04
JBDU4;3,32;;-2,57;0,27;0,09;;;;-2,64;-3,63;-0,93;0,10;;-0,50;-0,09;0,00;-10,59;-3,40;-9,42;0,32;0,68;0,00;;;759.892,63;12,19;-1,29;-0,05;17.031.689,04
JBSS3;30,67;3,31;16,75;1,77;0,47;16,73;7,59;1,70;3,76;6,01;2,25;1,06;0,29;3,91;-0,75;1,48;10,56;2,81;15,44;0,27;0,73;1,65;10,65;-1,92;417.033.091,83;17,34;1,83;-0,69;77.142.090.854,40
JFEN3;6,91;;-4,31;-1,59;0,57;-22,06;-508,80;-581,90;-4,93;-8,83;-3,90;;25,08;-8,43;-3,65;0,93;-36,93;-13,17;-126,02;-0,36;1,36;0,02;-44,72;;55.586,00;-4,34;-1,60;0,06;726.958.361,65
JHSF3;7,20;4,95;6,07;1,26;0,65;72,96;69,99;58,88;5,10;5,59;0,48;0,12;3,57;4,26;-0,89;2,35;20,79;10,73;15,17;0,52;0,47;0,18;13,16;42,24;41.573.384,50;5,71;1,19;0,04;4.933.414.367,48
JOPA3;28,55;1,01;9,49;0,43;0,15;27,37;7,51;2,03;2,57;6,66;4,04;0,68;0,19;0,52;-0,44;1,76;4,56;1,57;3,94;0,34;0,66;0,77;8,16;5,14;15.459,90;65,93;3,01;0,05;308.087.886,39
JOPA4;73,93;0,43;24,58;1,12;0,39;27,37;7,51;2,03;6,66;6,66;4,04;0,68;0,50;1,34;-1,14;1,76;4,56;1,57;3,94;0,34;0,66;0,77;8,16;5,14;23.537,50;65,93;3,01;0,12;308.087.886,39
JPSA3;29,25;0,47;33,60;0,81;0,37;59,31;49,40;11,31;7,69;13,56;5,87;0,62;3,80;2,42;-0,50;2,33;2,41;1,09;3,93;0,45;0,55;0,10;1,23;;7.903.718,37;36,11;0,87;-0,83;2.596.246.199,96
JSLG3;11,20;0,50;12,26;2,67;0,65;-6,28;17,87;19,12;13,12;20,91;7,79;1,59;2,34;3,13;-1,08;2,12;21,80;5,33;5,92;0,24;0,76;0,28;-13,95;22,94;4.481.456,73;4,19;0,91;0,16;3.135.900.073,60
KEPL3;53,59;2,37;18,53;2,64;1,48;23,59;12,34;9,76;14,66;12,40;-2,26;-0,41;1,81;8,22;-3,55;1,45;14,23;8,00;12,79;0,56;0,44;0,82;-1,00;61,09;12.165.254,47;20,33;2,89;0,23;1.410.058.525,89
KLBN11;26,93;;28,71;9,87;0,78;37,80;25,45;8,22;9,27;15,94;6,66;7,09;2,36;3,45;-1,20;2,92;34,36;2,73;8,57;0,08;0,90;0,33;16,01;;181.107.931,17;2,73;0,94;-0,20;30.224.263.027,28
KLBN3;5,80;;30,92;10,62;0,84;37,80;25,45;8,22;9,99;15,94;6,66;7,09;2,54;3,71;-1,29;2,92;34,36;2,73;8,57;0,08;0,90;0,33;16,01;;1.765.198,87;0,55;0,19;-0,21;30.224.263.027,28
KLBN4;5,26;;28,04;9,64;0,77;37,80;25,45;8,22;9,06;15,94;6,66;7,09;2,30;3,37;-1,17;2,92;34,36;2,73;8,57;0,08;0,90;0,33;16,01;;8.873.081,87;0,55;0,19;-0,19;30.224.263.027,28
LAME3;18,06;1,19;121,50;2,75;0,77;32,91;5,44;1,25;27,84;30,76;1,56;0,15;1,52;2,07;-2,09;2,45;2,26;0,64;3,30;0,28;0,64;0,51;3,50;37,33;83.006.764,27;6,57;0,15;-2,01;35.817.798.024,26
LAME4;19,42;1,11;130,65;2,95;0,83;32,91;5,44;1,25;29,93;30,76;1,56;0,15;1,63;2,23;-2,25;2,45;2,26;0,64;3,30;0,28;0,64;0,51;3,50;37,33;269.202.118,30;6,57;0,15;-2,16;35.817.798.024,26
LAVV3;8,32;1,24;19,09;1,37;1,05;41,67;33,06;26,01;15,03;7,76;-7,26;-0,66;4,97;1,62;-6,04;4,77;7,19;5,52;8,20;0,77;0,23;0,21;;;12.767.189,80;6,06;0,44;0,17;1.785.710.384,64
LCAM3;24,33;1,49;23,55;2,81;934,96;27,87;17,05;8,77;12,11;16,38;4,27;0,99;2,07;17,83;-1,23;1,28;11,94;3.970,06;7,73;332,52;667,48;452,73;51,17;83,45;60.466.811,27;8,65;1,03;0,45;12.423.172.216,62
LEVE3;26,87;3,46;27,69;2,57;1,23;26,09;8,06;5,18;17,81;17,60;-0,21;-0,03;1,44;6,13;-2,83;1,55;9,28;4,45;9,37;0,48;0,52;0,86;-0,25;-6,62;15.441.906,37;10,46;0,97;-0,53;3.447.649.395,00
LHER3;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LHER4;0,00;;0,00;0,00;0,00;63,41;22,35;10,99;0,00;-3,77;-3,77;-0,15;0,00;0,00;0,00;6,36;1,95;0,67;3,94;0,34;0,66;0,06;4,31;-51,59;;141,54;2,76;0,00;0,00
LIGT3;16,71;2,64;9,00;0,88;0,24;24,44;13,62;5,29;3,49;7,20;3,70;0,93;0,48;8,23;-0,34;1,10;9,78;2,62;8,51;0,27;0,73;0,50;3,68;78,83;39.549.887,10;18,99;1,86;-0,19;6.221.673.910,80
LINX3;37,30;;-88,23;4,36;2,64;67,68;-5,33;-9,14;-151,29;-146,40;4,89;-0,14;8,06;11,66;-4,76;2,03;-4,94;-2,99;-2,49;0,60;0,40;0,33;14,30;;16.672.814,37;8,55;-0,42;0,29;7.064.954.208,00
LIPR3;70,00;2,44;18,20;4,04;3,31;;;;19,35;17,18;-2,18;-0,45;;11,90;-5,68;3,01;22,22;18,22;20,89;0,82;0,18;0,00;;53,51;86.276,33;17,31;3,85;-0,01;823.542.230,00
LJQQ3;19,90;0,43;46,00;7,55;1,80;41,24;10,09;4,65;21,21;21,40;0,19;0,07;2,14;6,41;-5,80;1,69;16,42;3,92;16,72;0,24;0,76;0,84;;;29.632.912,60;2,63;0,43;0,26;3.727.076.353,10
LLIS3;4,49;;-0,15;1,12;0,14;49,28;-209,69;-334,84;-0,25;-1,50;-1,25;5,67;0,52;1,30;-0,19;1,81;-724,31;-93,03;-98,21;0,13;0,87;0,28;-12,82;;2.300.263,63;4,02;-29,12;0,00;309.140.222,21
LOGG3;29,64;1,81;13,03;0,96;0,66;98,82;254,89;161,03;8,23;9,65;1,42;0,16;20,99;5,73;-0,81;2,50;7,33;5,05;5,97;0,69;0,30;0,03;8,78;52,67;11.594.419,57;31,03;2,27;0,09;3.027.997.324,56
LOGN3;19,49;;19,34;5,81;0,93;21,29;17,68;9,23;10,10;13,44;3,34;1,92;1,79;3,20;-1,79;2,54;30,04;4,82;8,91;0,16;0,84;0,52;4,71;;18.510.988,57;3,36;1,01;-0,10;2.055.984.332,59
LPSB3;4,07;;-117,18;3,46;1,51;85,42;21,33;-3,07;16,88;12,98;-3,90;-0,80;3,60;5,21;-2,71;2,89;-2,96;-1,29;10,84;0,44;0,56;0,42;-3,97;;4.890.443,77;1,18;-0,03;-5,95;600.547.348,17
LREN3;43,70;0,78;35,80;7,13;2,68;57,23;11,37;14,54;45,81;46,64;0,83;0,13;5,21;12,03;-6,83;1,58;19,93;7,49;8,47;0,38;0,62;0,51;4,17;13,62;461.263.457,33;6,13;1,22;-139,35;39.178.184.560,20
LTEL3B;86,61;1,14;50,53;6,94;6,37;;;;49,31;49,51;0,20;0,03;;214,30;-6,79;1,93;13,74;12,61;13,34;0,92;0,08;0,00;;;;12,48;1,71;2,25;18.664.056.853,83
LUPA3;10,22;;14,14;2,08;0,59;22,81;10,91;37,70;48,86;66,54;17,69;0,75;5,33;2,43;-0,98;2,55;14,68;4,18;0,89;0,28;0,72;0,11;-27,27;;32.605.393,17;4,92;0,72;-0,08;291.042.104,22
LUXM3;0,00;;0,00;0,00;0,00;24,63;12,85;8,05;0,00;14,71;0,26;0,04;0,00;0,00;0,00;1,86;8,93;5,49;7,94;0,61;0,39;0,68;7,04;-0,09;;18,14;1,62;0,00;194.137.020,00
